Timestamp,Power,Current,Class,
3/16/2022 14:26,2732.41,11.88,Running Smoothly,
3/16/2022 14:27,2768.61,12.04,Overcurrent fault,
3/16/2022 14:28,2735.47,11.89,Running Smoothly,
3/16/2022 14:29,2760.23,12,Overcurrent fault,
3/16/2022 14:30,2739.15,11.91,Running Smoothly,
3/16/2022 14:31,2764.1,12.02,"Overcurrent fault	",
3/16/2022 14:32,2746.65,11.94,"Running Smoothly	",
3/18/2022 11:55,2746.2,11.94,Running Smoothly,
3/18/2022 11:56,2745.92,11.94,"Running Smoothly	",
3/18/2022 11:57,2744.65,11.93,"Running Smoothly	",
3/18/2022 11:58,2737.26,11.9,Running Smoothly,
3/18/2022 11:59,2741.52,11.92,Running Smoothly,
3/18/2022 12:00,2754.25,11.98,Running Smoothly,
3/18/2022 12:01,2740.14,11.91,"Running Smoothly	",
3/18/2022 12:02,2750.77,11.96,Running Smoothly,
3/18/2022 12:03,2738.99,11.91,Running Smoothly,
3/18/2022 12:04,2760.13,12,"Overcurrent fault	",
3/18/2022 12:05,2743.36,11.93,Running Smoothly,
3/18/2022 12:06,2761.23,12.01,"Overcurrent fault	",
3/18/2022 12:07,2742.02,11.92,Running Smoothly,
3/18/2022 12:08,2755.05,11.98,"Running Smoothly	",
3/18/2022 12:09,2730.14,11.87,Running Smoothly,
3/18/2022 12:10,2756.72,11.99,"Overcurrent fault	",
3/18/2022 12:11,2754.85,11.98,"Running Smoothly	",
3/18/2022 12:12,2761.66,12.01,"Overcurrent fault	",
3/18/2022 12:13,2731.67,11.88,"Running Smoothly	",
3/18/2022 12:14,2751.5,11.96,"Running Smoothly	",
3/18/2022 12:15,2735.14,11.89,"Running Smoothly	",
3/18/2022 12:16,2755.24,11.98,Running Smoothly,
3/18/2022 12:17,2737.78,11.9,"Running Smoothly	",
3/18/2022 12:18,2756.76,11.99,"Overcurrent fault	",
3/18/2022 12:19,2741.23,11.92,"Running Smoothly	",
3/18/2022 12:20,2752.54,11.97,"Running Smoothly	",
3/18/2022 12:21,2740.47,11.92,Running Smoothly,
3/18/2022 12:22,2747.25,11.94,"Running Smoothly	",
3/21/2022 13:45,2756.03,11.98,"Running Smoothly	",
3/21/2022 13:46,2750.41,11.96,Running Smoothly,
3/21/2022 13:47,2746.66,11.94,Running Smoothly,
3/21/2022 13:48,2740.07,11.91,"Running Smoothly	",
3/21/2022 13:49,2754.37,11.98,"Running Smoothly	",
3/21/2022 13:50,2761.99,12.01,"Overcurrent fault	",
3/21/2022 13:51,2755.26,11.98,Running Smoothly,
3/21/2022 13:52,2743.76,11.93,"Running Smoothly	",
3/21/2022 13:53,2764.05,12.02,Overcurrent fault,
3/21/2022 13:54,2748.36,11.95,"Running Smoothly	",
3/21/2022 13:55,2748.2,11.95,Running Smoothly,
3/21/2022 13:56,2749.62,11.95,"Running Smoothly	",
3/21/2022 13:57,2769.03,12.04,Overcurrent fault,
3/21/2022 13:58,2757.09,11.99,Overcurrent fault,
3/21/2022 13:59,2768.64,12.04,"Overcurrent fault	",
3/21/2022 14:00,2745.11,11.94,Running Smoothly,
3/21/2022 14:01,2765.24,12.02,Overcurrent fault,
3/21/2022 14:02,2738.36,11.91,"Running Smoothly	",
3/21/2022 14:03,2764.2,12.02,"Overcurrent fault	",
3/21/2022 14:04,2743.03,11.93,Running Smoothly,
3/21/2022 14:05,2756.35,11.98,"Running Smoothly	",
3/21/2022 14:06,2744.9,11.93,"Running Smoothly	",
3/21/2022 14:07,2761.28,12.01,"Overcurrent fault	",
3/21/2022 14:08,2745.04,11.93,Running Smoothly,
3/21/2022 14:09,2756.4,11.98,"Running Smoothly	",
3/21/2022 14:10,2744.74,11.93,"Running Smoothly	",
3/21/2022 14:11,2758.34,11.99,"Overcurrent fault	",
3/21/2022 14:12,2758.73,11.99,"Overcurrent fault	",
3/21/2022 14:13,2749.62,11.95,"Running Smoothly	",
3/22/2022 11:25,2757.07,11.99,Overcurrent fault,
3/22/2022 11:26,2742.96,11.93,"Running Smoothly	",
3/22/2022 11:27,2766.94,12.03,Overcurrent fault,
3/22/2022 11:28,2748.33,11.95,"Running Smoothly	",
3/22/2022 11:29,2758.79,11.99,"Overcurrent fault	",
3/22/2022 11:30,2746.59,11.94,Running Smoothly,
3/22/2022 11:31,2761.12,12,Overcurrent fault,
3/22/2022 11:32,2769.49,12.04,"Overcurrent fault	",
3/22/2022 11:33,2743.19,11.93,Running Smoothly,
3/22/2022 11:34,2746.18,11.94,"Running Smoothly	",
3/22/2022 11:35,2761.19,12.01,Overcurrent fault,
3/22/2022 11:36,2746.67,11.94,"Running Smoothly	",
3/22/2022 11:37,2764.98,12.02,"Running Smoothly	",
3/22/2022 11:39,2766.13,12.03,Overcurrent fault,
3/22/2022 11:40,2749.59,11.95,"Running Smoothly	",
3/22/2022 11:41,2754.15,11.97,"Running Smoothly	",
3/22/2022 11:42,2760.47,12,"Overcurrent fault	",
3/22/2022 11:43,2749.87,11.96,"Running Smoothly	",
3/22/2022 11:44,2757.94,11.99,"Overcurrent fault	",
3/22/2022 11:45,2741.29,11.92,"Running Smoothly	",
3/22/2022 11:46,2762.63,12.01,"Overcurrent fault	",
3/22/2022 11:47,2748.16,11.95,"Running Smoothly	",
3/22/2022 11:48,2772.24,12.05,Overcurrent fault,
3/22/2022 11:49,2778.5,12.08,"Overcurrent fault	",
3/22/2022 11:50,2746.46,11.94,"Running Smoothly	",
3/22/2022 11:51,2773.63,12.06,Overcurrent fault,
3/22/2022 11:52,2751.41,11.96,"Running Smoothly	",
3/22/2022 11:53,2770.58,12.05,Overcurrent fault,
3/22/2022 11:54,2756.83,11.99,Overcurrent fault,
3/22/2022 11:55,2756.68,11.99,Running Smoothly,
3/22/2022 11:57,2765.97,12.03,Overcurrent fault,
3/22/2022 11:58,2763.94,12.02,"Overcurrent fault	",
3/22/2022 11:59,2750.52,11.96,Running Smoothly,
3/22/2022 12:00,2746.72,11.94,Running Smoothly,
3/27/2022 11:02,2767.43,12.03,"Overcurrent fault	",
3/27/2022 11:03,2751.68,11.96,"Running Smoothly	",
3/27/2022 11:04,2780.74,12.09,"Overcurrent fault	",
3/27/2022 11:06,2759.89,12,"Overcurrent fault	",
3/27/2022 11:07,2749.13,11.95,"Running Smoothly	",
3/27/2022 11:08,2761.54,12.01,"Overcurrent fault	",
3/27/2022 11:09,2749.16,11.95,Running Smoothly,
3/27/2022 11:10,2762.26,12.01,"Overcurrent fault	",
3/27/2022 11:11,2756.74,11.99,Overcurrent fault,
3/27/2022 11:12,2749.17,11.95,Running Smoothly,
3/27/2022 11:13,2772.56,12.05,"Overcurrent fault	",
3/27/2022 11:14,2757.75,11.99,"Overcurrent fault	",
3/27/2022 11:15,2769.3,12.04,"Overcurrent fault	",
3/27/2022 11:16,2752.98,11.97,Running Smoothly,
3/27/2022 11:17,2767.53,12.03,Overcurrent fault,
