2710.02,12.32,33,Overcurrent-fault
2651.04,12.05,33,Overcurrent-fault
2627.02,11.94,33,Overcurrent-fault
2639.47,12,33,Overcurrent-fault
2658.42,12.08,33,Overcurrent-fault
2670.56,12.14,33,Overcurrent-fault
2659.67,12.09,33,Overcurrent-fault
2633.6,11.97,33,Overcurrent-fault
2638.7,11.99,33,Overcurrent-fault
2637.58,11.99,33,Overcurrent-fault
2654.65,12.07,33,Overcurrent-fault
2655.22,12.07,33,Overcurrent-fault
2659.25,12.09,33,Overcurrent-fault
2646.28,12.03,33,Overcurrent-fault
2643.5,12.02,33,Overcurrent-fault
2650.62,12.05,33,Overcurrent-fault
2663.91,12.11,33,Overcurrent-fault
2673.36,12.15,33,Overcurrent-fault
2671.91,12.15,34,Overcurrent-fault
2673.16,12.15,34,Overcurrent-fault
2596.3,11.8,34,Overcurrent-fault
2677.72,12.17,34,Overcurrent-fault
2699.32,12.27,34,Overcurrent-fault
2691.65,12.23,34,Overcurrent-fault
2658.33,12.08,34,Overcurrent-fault
2679.01,12.18,34,Overcurrent-fault
2695.91,12.25,34,Overcurrent-fault
2663.09,12.1,34,Overcurrent-fault
2672.31,12.15,34,Overcurrent-fault
2691.57,12.23,34,Overcurrent-fault
2657.47,12.08,34,Overcurrent-fault
2681.87,12.19,34,Overcurrent-fault
2695.14,12.25,34,Overcurrent-fault
2693.49,12.24,34,Overcurrent-fault
2690.18,12.23,34,Overcurrent-fault
2698.93,12.27,34,Overcurrent-fault
2686.6,12.21,34,Overcurrent-fault
2667.96,12.13,34,Overcurrent-fault
2701.48,12.28,34,Overcurrent-fault
2667.82,12.13,34,Overcurrent-fault
2705.82,12.3,34,Overcurrent-fault
2681.15,12.19,34,Overcurrent-fault
2660.61,12.09,34,Overcurrent-fault
2668.59,12.13,34,Overcurrent-fault
2677.83,12.17,34,Overcurrent-fault
2693.48,12.24,34,Overcurrent-fault
2718.86,12.36,34,Overcurrent-fault
2680.74,12.19,34,Overcurrent-fault
2710.12,12.32,34,Overcurrent-fault
2679.65,12.18,34,Overcurrent-fault
2718.16,12.36,34,Overcurrent-fault
2684.85,12.2,34,Overcurrent-fault
2710.19,12.32,34,Overcurrent-fault
2726.7,12.39,34,Overcurrent-fault
2686.52,12.21,34,Overcurrent-fault
2683.46,12.2,34,Overcurrent-fault
2697.76,12.26,34,Overcurrent-fault
2703.18,12.29,34,Overcurrent-fault
